component_id,canonical_name,source_count,sources_present,has_regulatory_signal,has_safety_signal,regulatory_signal_count,safety_signal_count,total_ensayos_clinicos,ensayos_completados,tasa_no_completado,tasa_riesgo_toxicidad,interaction_degree_drugbank,created_from_primary_source
COMP_C0B34BF63C02,Galantamine,6,FDA Directory | PubChem | MeSH | RxNorm | AACT / ClinicalTrials | DrugBank,true,true,1,1,62,47,0.14516129032258066,0.016129032258064516,772,FDA_Dietary_Supplement_Ingredient_Directory
COMP_22DA46FADFFD,Iodine,6,ODS | Curated Alias | PubChem | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,20,11,0.15,0.05,0,ODS
COMP_093532B7FA53,L-Histidine,6,DSLD | PubChem | ChEBI | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,8,5,0.25,0.0,0,DSLD
COMP_1F009B83CDFA,N-methyglycineMagnesium SarcosylateSarcosine HydrochlorideSodium Sarcosinate,6,FDA Directory | PubChem | ChEBI | RxNorm | AACT / ClinicalTrials | DrugBank,true,false,1,0,8,8,0.0,0.0,0,FDA_Dietary_Supplement_Ingredient_Directory
COMP_C34D1F3079C8,Omega-3 Fatty Acids,6,DSLD | ODS | ChEBI | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,119,88,0.13445378151260504,0.0,82,ODS
COMP_781B4EA1D853,Selenium,6,ODS | Curated Alias | MeSH | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,58,41,0.13793103448275862,0.017241379310344827,635,ODS
COMP_90C4121BAE0C,Vitamin A,6,DSLD | ODS | PubChem | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,72,45,0.05555555555555555,0.0,53,ODS
COMP_1BCB25859985,Vitamin C,6,DSLD | ODS | PubChem | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,356,187,0.17415730337078653,0.0028089887640449437,46,ODS
COMP_D4790F9775EF,Vitamin E,6,DSLD | ODS | PubChem | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,163,116,0.09815950920245399,0.0,354,ODS
COMP_34FD41E03B30,25-hydroxycholecalciferol25-hydroxy vitamin D3Calcifediol anhydrousDedrogylDelakminDidrogylRayaldee,5,FDA Directory | PubChem | RxNorm | AACT / ClinicalTrials | DrugBank,true,false,1,0,30,22,0.06666666666666667,0.0,133,FDA_Dietary_Supplement_Ingredient_Directory
COMP_395A0FE48E1B,5-HTP,5,DSLD | PubChem | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,11,7,0.0,0.0,490,DSLD
COMP_A3499718605B,"Acetamide, N-(4-hydroxyphenyl)-ParacetamolTylenol™",5,FDA Directory | PubChem | RxNorm | AACT / ClinicalTrials | DrugBank,true,true,1,1,808,529,0.12623762376237624,0.0024752475247524753,1229,FDA_Dietary_Supplement_Ingredient_Directory
COMP_FEC6879A2EEE,Acetyl L-Carnitine,5,DSLD | PubChem | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,22,14,0.09090909090909091,0.0,0,DSLD
COMP_641008FC6BFE,Acetyl-L-Carnitine,5,DSLD | PubChem | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,22,14,0.09090909090909091,0.0,0,DSLD
COMP_80AE44850DC4,Acetylsalicylic acid2-Acetoxybenzoic acid2-Carboxyphenyl acetateKyselina 2-acetoxybenzoova,5,FDA Directory | PubChem | RxNorm | AACT / ClinicalTrials | DrugBank,true,true,1,1,812,423,0.1145320197044335,0.0049261083743842365,1462,FDA_Dietary_Supplement_Ingredient_Directory
COMP_5C76A77D0978,AmunoIndocidIndocinIndomet 140Indomethacin HydrochlorideMetindolOsmosin,5,FDA Directory | ChEBI | RxNorm | AACT / ClinicalTrials | DrugBank,true,true,1,1,100,56,0.19,0.0,1651,FDA_Dietary_Supplement_Ingredient_Directory
COMP_275450118D60,Calcium,5,ODS | FDA Directory | RxNorm | AACT / ClinicalTrials | DrugBank,true,false,1,0,85,62,0.03529411764705882,0.0,230,ODS
COMP_0987F386BB65,Carnitine,5,ODS | ChEBI | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,11,6,0.09090909090909091,0.0,768,ODS
COMP_D1B4470B8A68,CialisAdcirca,5,FDA Directory | PubChem | RxNorm | AACT / ClinicalTrials | DrugBank,true,true,1,1,207,144,0.10144927536231885,0.004830917874396135,1043,FDA_Dietary_Supplement_Ingredient_Directory
COMP_9C5C72058DB1,Copper,5,ODS | Curated Alias | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,9,5,0.2222222222222222,0.0,14,ODS
COMP_C9188808EB57,D-Mannose,5,DSLD | PubChem | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,7,1,0.5714285714285714,0.0,0,DSLD
COMP_C83325EA1704,"FluamineN,N-DimethyldiguanideNNDG",5,FDA Directory | ChEBI | RxNorm | AACT / ClinicalTrials | DrugBank,true,false,1,0,1420,887,0.1119718309859155,0.004225352112676056,1051,FDA_Dietary_Supplement_Ingredient_Directory
COMP_153CD3CDEDF5,Folate,5,ODS | Curated Alias | ChEBI | RxNorm | AACT / ClinicalTrials,false,false,0,0,230,142,0.08260869565217391,0.017391304347826087,0,ODS
COMP_05EA6F24F3DF,IP-6,5,DSLD | PubChem | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,5,3,0.0,0.0,0,DSLD
COMP_B6A8F8958154,Iron,5,ODS | Curated Alias | ChEBI | RxNorm | AACT / ClinicalTrials,false,false,0,0,74,47,0.12162162162162163,0.0,0,ODS
COMP_506514090324,L-Alanine,5,DSLD | ChEBI | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,21,7,0.14285714285714285,0.0,0,DSLD
COMP_AB3E85388234,L-Cysteine,5,DSLD | PubChem | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,6,4,0.0,0.0,0,DSLD
COMP_79C0DB8C42D9,L-Leucine,5,DSLD | PubChem | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,46,31,0.13043478260869565,0.0,0,DSLD
COMP_3B7058496041,L-Phenylalanine,5,DSLD | PubChem | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,6,5,0.0,0.0,399,DSLD
COMP_0D2B15E9F9EE,L-Taurine,5,DSLD | PubChem | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,23,13,0.043478260869565216,0.0,0,DSLD
COMP_77DD0D7D086D,L-Tryptophan,5,DSLD | PubChem | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,23,14,0.043478260869565216,0.0,509,DSLD
COMP_118130811685,L-Tyrosine,5,DSLD | PubChem | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,14,8,0.21428571428571427,0.0,1,DSLD
COMP_7A51909809FD,Niacin,5,ODS | PubChem | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,123,79,0.0975609756097561,0.008130081300813009,496,ODS
COMP_BB2F708BF799,Potassium,5,ODS | MeSH | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,8,6,0.125,0.0,744,ODS
COMP_B1D26385CE00,Pyridoxamine,5,FDA Directory | PubChem | ChEBI | MeSH | AACT / ClinicalTrials,true,false,1,0,3,1,0.6666666666666666,0.0,0,FDA_Dietary_Supplement_Ingredient_Directory
COMP_A41ECEBBCFF4,Sulbutiamine,5,FDA Directory | PubChem | RxNorm | AACT / ClinicalTrials | DrugBank,true,true,1,1,1,0,0.0,0.0,0,FDA_Dietary_Supplement_Ingredient_Directory
COMP_FB0BFF3E6E21,Vitamin B6,5,ODS | ChEBI | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,43,25,0.16279069767441862,0.023255813953488372,626,ODS
COMP_67B16EEFC42F,Vitamin C (ascorbic acid),5,DSLD | PubChem | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,368,190,0.16847826086956522,0.002717391304347826,46,DSLD
COMP_8C56C31FBB78,Vitamin D,5,DSLD | ODS | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,562,373,0.07651245551601424,0.0017793594306049821,218,ODS
COMP_64DE5343502D,Vitamin K,5,DSLD | ODS | PubChem | RxNorm | AACT / ClinicalTrials,false,false,0,0,32,23,0.0625,0.0,0,ODS
COMP_63F6F6FCAA5F,2-Dimethylaminoethoxyphenylmethyl -2-picoline,4,FDA Directory | PubChem | RxNorm | DrugBank,true,true,1,1,0,0,0.0,0.0,948,FDA_Dietary_Supplement_Ingredient_Directory
COMP_F64AC3CDE665,2-Hydroxy-5-chlorobenzoxazole5-Chlorbenzoxazolin-2-on5-Chloro-2-benzoxazolinone5-Chloro-2-benzoxazolol5-Chloro-2-hydroxybenzoxazoleBiomioran,4,FDA Directory | RxNorm | AACT / ClinicalTrials | DrugBank,true,true,1,1,7,6,0.0,0.0,1346,FDA_Dietary_Supplement_Ingredient_Directory
COMP_FBAB1F08FFC3,AcetildenafilDesmethyl SildenafilHomosildenafilHydroxyhomosildenafilRevatioViagra,4,FDA Directory | RxNorm | AACT / ClinicalTrials | DrugBank,true,true,1,1,250,158,0.144,0.004,1059,FDA_Dietary_Supplement_Ingredient_Directory
COMP_DDC56A4249E5,AdvilMidolMotrinNuprin,4,FDA Directory | RxNorm | AACT / ClinicalTrials | DrugBank,true,true,1,1,491,330,0.11405295315682282,0.008146639511201629,1399,FDA_Dietary_Supplement_Ingredient_Directory
COMP_5FA5A40B1A56,Bacillus coagulans,4,Curated Alias | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,6,3,0.0,0.0,0,Curated_Supplement_Component_Target
COMP_A8E4EED8360D,Bacillus subtilis,4,Curated Alias | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,4,3,0.0,0.0,0,Curated_Supplement_Component_Target
COMP_4C01A543D40D,Bifidobacterium bifidum,4,Curated Alias | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,6,3,0.0,0.0,0,Curated_Supplement_Component_Target
COMP_6A32E14FD6BE,Bifidobacterium infantis,4,Curated Alias | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,10,8,0.1,0.0,0,Curated_Supplement_Component_Target
COMP_43BE32DB2D1B,Bifidobacterium longum,4,Curated Alias | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,9,5,0.0,0.0,0,Curated_Supplement_Component_Target
COMP_03A904101DD4,Black Cohosh,4,ODS | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,13,7,0.15384615384615385,0.0,247,ODS
COMP_19D9B817C2B7,BlavinFlumarcFosfomicVasomet,4,FDA Directory | RxNorm | AACT / ClinicalTrials | DrugBank,true,true,1,1,14,6,0.07142857142857142,0.0,555,FDA_Dietary_Supplement_Ingredient_Directory
COMP_87C7F5CACB33,Boswellia serrata,4,Curated Alias | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,3,1,0.3333333333333333,0.0,0,Curated_Supplement_Component_Target
COMP_4FCE8A434A85,Calcium d-Glucarate,4,DSLD | PubChem | RxNorm | AACT / ClinicalTrials,false,false,0,0,1,1,0.0,0.0,0,DSLD
COMP_A204C673A9A2,Choline,4,ODS | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,18,12,0.0,0.0,108,ODS
COMP_64BA168636B5,Curcuma longa,4,Curated Alias | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,39,29,0.1282051282051282,0.0,0,Curated_Supplement_Component_Target
COMP_D83F496D52EF,D-Aspartic Acid,4,DSLD | PubChem | ChEBI | AACT / ClinicalTrials,false,false,0,0,2,0,0.5,0.0,0,DSLD
COMP_07249C028641,DichlofenacDiclophenacFeloranNovapirinaOlfenProSorb-DVoltarenZorvolex,4,FDA Directory | RxNorm | AACT / ClinicalTrials | DrugBank,true,true,1,1,137,85,0.1678832116788321,0.0072992700729927005,1535,FDA_Dietary_Supplement_Ingredient_Directory
COMP_083D6A6B4B99,FeldenePiroftalRosidenRoxicam,4,FDA Directory | RxNorm | AACT / ClinicalTrials | DrugBank,true,true,1,1,17,12,0.0,0.0,1390,FDA_Dietary_Supplement_Ingredient_Directory
COMP_20A381788462,Ibutamoren,4,FDA Directory | PubChem | RxNorm | DrugBank,true,true,1,1,0,0,0.0,0.0,0,FDA_Dietary_Supplement_Ingredient_Directory
COMP_A8A9B1C9227C,L-Cystine,4,DSLD | PubChem | ChEBI | AACT / ClinicalTrials,false,false,0,0,1,0,0.0,0.0,0,DSLD
COMP_2F771F3347CF,L-Methionine,4,DSLD | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,12,8,0.0,0.0,1,DSLD
COMP_AA1931E15528,L-Serine,4,DSLD | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,12,2,0.25,0.0,0,DSLD
COMP_4A4A21E8487D,Lacticaseibacillus casei,4,Curated Alias | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,3,1,0.0,0.0,0,Curated_Supplement_Component_Target
COMP_DA3CA182FF0F,Lacticaseibacillus rhamnosus,4,Curated Alias | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,16,12,0.0625,0.0,0,Curated_Supplement_Component_Target
COMP_20FB3D5834B7,Lactiplantibacillus plantarum,4,Curated Alias | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,15,9,0.0,0.0,0,Curated_Supplement_Component_Target
COMP_C5CD8E1D6AAE,Lactobacillus acidophilus,4,Curated Alias | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,9,4,0.0,0.0,0,Curated_Supplement_Component_Target
COMP_270BABF303AA,Lactobacillus bulgaricus,4,Curated Alias | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,1,1,0.0,0.0,0,Curated_Supplement_Component_Target
COMP_E897495403E2,LevitraStaxynVivanza,4,FDA Directory | RxNorm | AACT / ClinicalTrials | DrugBank,true,true,1,1,21,13,0.09523809523809523,0.0,1031,FDA_Dietary_Supplement_Ingredient_Directory
COMP_6CC7081371A8,Limosilactobacillus fermentum,4,Curated Alias | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,3,1,0.0,0.0,0,Curated_Supplement_Component_Target
COMP_BFCFE16644BC,Limosilactobacillus reuteri,4,Curated Alias | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,34,25,0.058823529411764705,0.0,0,Curated_Supplement_Component_Target
COMP_526CEFBDED30,Molybdenum,4,ODS | Curated Alias | RxNorm | DrugBank,false,false,0,0,0,0,0.0,0.0,0,ODS
COMP_F2F0C67E823A,N-Acetyl Tyrosine,4,DSLD | PubChem | RxNorm | DrugBank,false,false,0,0,0,0,0.0,0.0,643,DSLD
COMP_A550FCA4B252,N-acetylcysteine,4,DSLD | Curated Alias | ChEBI | AACT / ClinicalTrials,false,false,0,0,204,124,0.14705882352941177,0.0,0,DSLD
COMP_2A5E005F2DD6,Psyllium husk,4,FDA Directory | RxNorm | AACT / ClinicalTrials | DrugBank,true,true,1,1,7,5,0.14285714285714285,0.0,331,FDA_Dietary_Supplement_Ingredient_Directory
COMP_4CC6F23AE151,Rebaudioside A,4,DSLD | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,3,3,0.0,0.0,0,DSLD
COMP_E3ECF8F2FB05,Saccharomyces boulardii,4,Curated Alias | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,25,14,0.08,0.0,0,Curated_Supplement_Component_Target
COMP_57C0145D6C50,Streptococcus thermophilus,4,Curated Alias | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,1,1,0.0,0.0,0,Curated_Supplement_Component_Target
COMP_06B36D3A8FF3,Vitamin B12,4,ODS | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,99,65,0.13131313131313133,0.020202020202020204,701,ODS
COMP_94DFE28A9A5C,Vitamin D (cholecalciferol),4,DSLD | PubChem | RxNorm | AACT / ClinicalTrials,false,false,0,0,770,524,0.10909090909090909,0.0012987012987012987,0,DSLD
COMP_25FC06801E6E,alpha-linolenic acid,4,Curated Alias | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,4,3,0.0,0.0,1,Curated_Supplement_Component_Target
COMP_A761E0CC01F9,apple cider vinegar,4,Curated Alias | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,8,3,0.0,0.0,0,Curated_Supplement_Component_Target
COMP_160A62BC3CB2,astaxanthin,4,Curated Alias | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,29,16,0.06896551724137931,0.0,494,Curated_Supplement_Component_Target
COMP_C6E51226AD1B,betaine,4,Curated Alias | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,19,15,0.05263157894736842,0.0,252,Curated_Supplement_Component_Target
COMP_427C560DDC8B,bromelains,4,Curated Alias | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,1,0,0.0,0.0,0,Curated_Supplement_Component_Target
COMP_4F582819D2E9,caffeine,4,Curated Alias | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,253,191,0.07114624505928854,0.0,549,Curated_Supplement_Component_Target
COMP_77610D86E61E,calcium ascorbate,4,Curated Alias | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,2,2,0.0,0.0,45,Curated_Supplement_Component_Target
COMP_617A5FCFE130,calcium citrate,4,Curated Alias | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,13,11,0.0,0.0,124,Curated_Supplement_Component_Target
COMP_99BC971DD201,calcium glycerophosphate,4,Curated Alias | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,1,1,0.0,0.0,0,Curated_Supplement_Component_Target
COMP_DF53BB0FF023,calcium phosphate,4,Curated Alias | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,5,5,0.0,0.0,166,Curated_Supplement_Component_Target
COMP_37031A339038,cellulose,4,Curated Alias | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,35,25,0.11428571428571428,0.0,0,Curated_Supplement_Component_Target
COMP_6205613132FA,chondroitin sulfates,4,Curated Alias | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,1,1,0.0,0.0,645,Curated_Supplement_Component_Target
COMP_9FA62B7E567C,citrulline,4,Curated Alias | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,14,12,0.0,0.0,127,Curated_Supplement_Component_Target
COMP_617D9A5BA7D5,coconut oil,4,Curated Alias | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,31,17,0.0967741935483871,0.0,0,Curated_Supplement_Component_Target
COMP_447F5E523CED,cod liver oil,4,Curated Alias | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,4,3,0.25,0.0,0,Curated_Supplement_Component_Target
COMP_39295A952CC9,copper sulfate,4,Curated Alias | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,1,0,0.0,0.0,0,Curated_Supplement_Component_Target
COMP_927588D27E64,dexpanthenol,4,Curated Alias | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,5,2,0.2,0.0,740,Curated_Supplement_Component_Target
COMP_F3C5987AA984,eicosapentaenoic acid,4,Curated Alias | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,23,14,0.13043478260869565,0.0,1135,Curated_Supplement_Component_Target
COMP_85BB18E9E274,ergocalciferol,4,Curated Alias | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,66,47,0.10606060606060606,0.0,122,Curated_Supplement_Component_Target
COMP_4ABFB4F7511E,ferrous gluconate,4,Curated Alias | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,8,8,0.0,0.0,104,Curated_Supplement_Component_Target
COMP_78F37B4F18A6,fish oils,4,Curated Alias | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,2,2,0.0,0.0,365,Curated_Supplement_Component_Target
COMP_F1A4E52241E8,flaxseed oil,4,Curated Alias | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,45,29,0.08888888888888889,0.0,0,Curated_Supplement_Component_Target
COMP_2CDB8961F7DE,fructose,4,Curated Alias | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,43,34,0.0,0.0,0,Curated_Supplement_Component_Target
COMP_41BF6A84967F,glucosamine,4,Curated Alias | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,8,6,0.0,0.0,32,Curated_Supplement_Component_Target
COMP_B66EC559799D,glutamic acid,4,Curated Alias | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,3,3,0.0,0.0,12,Curated_Supplement_Component_Target
COMP_A0A4A770D42F,glutamine,4,Curated Alias | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,79,38,0.24050632911392406,0.0,1,Curated_Supplement_Component_Target
COMP_CE4756376C75,glycerin,4,Curated Alias | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,9,7,0.0,0.0,357,Curated_Supplement_Component_Target
COMP_37A112F48957,glycine,4,Curated Alias | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,26,9,0.3076923076923077,0.038461538461538464,7,Curated_Supplement_Component_Target
COMP_16CC88FFE446,hyaluronic acid,4,Curated Alias | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,193,111,0.031088082901554404,0.0051813471502590676,0,Curated_Supplement_Component_Target
COMP_430EB7DE720D,inositol,4,Curated Alias | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,18,9,0.2777777777777778,0.05555555555555555,633,Curated_Supplement_Component_Target
COMP_5A1C274D3525,inulin,4,Curated Alias | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,85,46,0.09411764705882353,0.0,0,Curated_Supplement_Component_Target
COMP_487092BE6237,isoleucine,4,Curated Alias | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,7,5,0.14285714285714285,0.0,0,Curated_Supplement_Component_Target
COMP_4835E0F1DD91,lactase,4,Curated Alias | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,6,4,0.0,0.0,0,Curated_Supplement_Component_Target
COMP_186EB4411CDF,lactose,4,Curated Alias | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,95,70,0.12631578947368421,0.0,0,Curated_Supplement_Component_Target
COMP_6DE7FE262FD1,linoleic acid,4,Curated Alias | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,3,2,0.3333333333333333,0.0,0,Curated_Supplement_Component_Target
COMP_B465338ABB44,lipase,4,Curated Alias | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,1,0,0.0,0.0,0,Curated_Supplement_Component_Target
COMP_C873A4B5C00A,lutein,4,Curated Alias | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,18,13,0.05555555555555555,0.0,0,Curated_Supplement_Component_Target
COMP_55B6D6822852,lycopene,4,Curated Alias | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,25,20,0.04,0.0,0,Curated_Supplement_Component_Target
COMP_88C3AA63DEDF,lysine,4,Curated Alias | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,10,9,0.0,0.0,0,Curated_Supplement_Component_Target
COMP_EF944BAE2602,magnesium hydroxide,4,Curated Alias | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,4,1,0.0,0.0,1107,Curated_Supplement_Component_Target
COMP_D16D281DE414,magnesium oxide,4,Curated Alias | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,24,14,0.0,0.0,609,Curated_Supplement_Component_Target
COMP_616589A7F2DA,maltodextrin,4,Curated Alias | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,279,196,0.043010752688172046,0.0,0,Curated_Supplement_Component_Target
COMP_4772744D7755,medium chain triglycerides,4,Curated Alias | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,7,6,0.14285714285714285,0.0,0,Curated_Supplement_Component_Target
COMP_74AC5BE900AC,melatonin,4,Curated Alias | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,353,161,0.1359773371104816,0.0,774,Curated_Supplement_Component_Target
COMP_0322C810E9FC,methylsulfonylmethane,4,Curated Alias | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,3,3,0.0,0.0,0,Curated_Supplement_Component_Target
COMP_CD701F471CDA,pancreatin,4,Curated Alias | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,3,3,0.0,0.0,22,Curated_Supplement_Component_Target
COMP_81D04F58154C,papain,4,Curated Alias | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,4,4,0.0,0.0,0,Curated_Supplement_Component_Target
COMP_F2A6EEF118E5,pepsin,4,Curated Alias | RxNorm | AACT / ClinicalTrials | DrugBank,false,false,0,0,1,1,0.0,0.0,0,Curated_Supplement_Component_Target
